time_min,ethanol_mmol_per_l,nadh_mmol_per_l
0.0,2.0005,0.0
2.0,1.9259,0.088
4.0,1.8484,0.1788
6.0,1.7679,0.2487
8.0,1.6716,0.3218
10.0,1.6015,0.4107
12.0,1.4843,0.4775
14.0,1.465,0.5419
16.0,1.4112,0.6023
18.0,1.3318,0.6658
20.0,1.2932,0.7325
