time_min,ethanol_mmol_per_l,nadh_mmol_per_l
0.0,17.9512,0.0011
2.0,17.7274,0.4315
4.0,17.0611,0.8471
6.0,16.458,1.2605
8.0,16.159,1.6686
10.0,15.8312,2.0814
12.0,15.3315,2.507
14.0,15.0873,2.9263
16.0,14.7459,3.3205
18.0,14.4231,3.6288
20.0,13.8758,4.0347
